Name,Text,Sentiment,Score,Time
Ali,I love Ai but he can't help. me ,ğŸ˜¡ Negative,2,2026-01-14 17:52:50.036192
Ali,I love Ai but he can't help me sometimes he can help ,ğŸ˜ Neutral,5,2026-01-14 17:53:40.262793
Ali,"I am so sad today
",ğŸ˜ Neutral,5,2026-01-14 18:01:54.465723
Ali,"I hate you
",ğŸ˜ Neutral,5,2026-01-14 18:02:16.002533
Ali,"I hate you
",ğŸ˜ Neutral,5,2026-01-14 18:02:17.828786
Ali,"I hate you
",ğŸ˜ Neutral,5,2026-01-14 18:02:18.841511
Ali,"I hate you
",ğŸ˜ Neutral,5,2026-01-14 18:02:23.829364
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:27.480848
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:28.349540
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:29.240530
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:29.810163
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:30.285309
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:30.600097
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:30.822975
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:31.378407
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:31.679818
Ali,"I love you
",ğŸ˜ Neutral,5,2026-01-14 18:02:32.160677
